city,date,state,text
Manhattan,Mon Nov 23 23:27:15 +0000 2020,NY,@radseed I remember when the IMAX movie filming on the same trip came out. Crazy.  (Under the Banner of Heaven is a… https://t.co/78qViWjV2O
San Francisco,Mon Nov 23 23:27:21 +0000 2020,CA,"See our latest #SF, CA job and click to apply: TRAVELING DIRECTOR OF DINING SERVICES - https://t.co/Qz1nlr9Dbg #HealthWelfare"
Oakleaf Plantation,Mon Nov 23 23:27:21 +0000 2020,FL,@KeyaraSimone Girls trip 🤨
Pasadena,Mon Nov 23 23:27:34 +0000 2020,TX,@HerYang21 @PFF @Titans @Brown1arthur You trippin Yang. We love to see it https://t.co/YQcytBhPKN
Norfolk,Mon Nov 23 23:27:54 +0000 2020,VA,anyways - while i’m at work making money i got whole side hustle. stripping and waxing floors for $40. #MoneyHungry
Charlotte,Mon Nov 23 23:28:55 +0000 2020,NC,Then want to get an attitude with the flight attendant when she sees your scrolling on IG while we’re Rolling out t… https://t.co/KK4QOKyybA
Okmulgee,Mon Nov 23 23:29:10 +0000 2020,OK,i thought i heard something but i was trippin. i ain’t gonna be able to stay here. i’ma stay with my mom.. things s… https://t.co/vBJ8ArAJzL
Houston,Mon Nov 23 23:29:13 +0000 2020,TX,@wickedparachute @_TrippyTee she ugly anyways lol I’m just tryna see where she getting at with this
Arcola,Mon Nov 23 23:29:16 +0000 2020,TX,"ALL of my travel has been with friends, or family. Sorry there’s no old sugar daddy I’m hiding anywhere bitch I can afford the life I live 🙄"
Portland,Mon Nov 23 23:29:26 +0000 2020,OR,I believe someone saw him packing his stripped uniform.
Queens,Mon Nov 23 23:30:10 +0000 2020,NY,"@pergillian @nextspaceflight @CGTNOfficial Means, “ Ms Chang’e, why you chose midnight to start a business trip to the moon”. Lol"
Queens,Mon Nov 23 23:30:10 +0000 2020,NY,"@pergillian @nextspaceflight @CGTNOfficial Means, “ Ms Chang’e, why you chose midnight to start a business trip to the moon”. Lol"
Salem,Mon Nov 23 23:30:34 +0000 2020,NJ,Don’t even trip our time coming neph !
Tucson,Mon Nov 23 23:30:45 +0000 2020,AZ,@MobBossTrump Like going from a strip club to the White House!
Manhattan,Mon Nov 23 23:30:51 +0000 2020,NY,@GyalRiri @sidetripca The whole world is watching and cringing. It's going to be epic tv!
Indianapolis,Mon Nov 23 23:31:07 +0000 2020,IN,@SwankHippie 🤣🤣🤣 thought I was trippin
Crystal River,Mon Nov 23 23:31:32 +0000 2020,FL,"Grouper trolling... (Crystal River, FL): Another annual trip for Mr. Emory on board and he brought his son along fo… https://t.co/rS5ZPN6PlY"
Portsmouth,Mon Nov 23 23:31:57 +0000 2020,VA,It's a toss up between Killer Tofu- The Beets (Doug) and Scotty Doesn't Know (Eurotrip)
Nags Head,Mon Nov 23 23:32:03 +0000 2020,NC,"@WendyrPR @OregonZoo I mean. it's kinda a road trip, but worth it"
Romeoville,Mon Nov 23 23:32:08 +0000 2020,IL,Never taking traveling for granted ever again !
Waipio,Mon Nov 23 23:32:23 +0000 2020,HI,@trippytipssy 😂😂 ain’t gone be able to see nobody w that
Short Pump,Mon Nov 23 23:32:35 +0000 2020,VA,"*Doesn’t get invited to an event/wedding/trip*

Me: Yea no worries it’s all good, didn’t want to go bc of COVID

Ev… https://t.co/9iDZmHlbT8"
Seattle,Mon Nov 23 23:33:17 +0000 2020,WA,So umm where are all the TikTok “time travelers” now that Trump didn’t win the election like they said he would? 🤣
Crystal Lake,Mon Nov 23 23:33:35 +0000 2020,IL,"@kkmah @TravelWI @SustainDriftles @SmithsBikes @SidiSport @NinerBikes Thank you Kris, may you and your family also… https://t.co/yxA44TXFxl"
Houston,Mon Nov 23 23:33:55 +0000 2020,TX,"All the hood niggas respect me, stripper wanna sex me."
Pacific Grove,Mon Nov 23 23:33:59 +0000 2020,CA,took a solo trip to the beach with a book &amp; this is such a lovely feeeeeling😌
Kent,Mon Nov 23 23:34:24 +0000 2020,OH,@b_blythin15 ready for our triple date at Arby’s?
Port Arthur,Mon Nov 23 23:34:43 +0000 2020,TX,"CDC: No traveling during Thanksgiving Holiday

Americans: https://t.co/JseZSFiEcB"
Las Vegas,Mon Nov 23 23:34:53 +0000 2020,NV,"https://t.co/yWBes3JCvN
🎲🎰🎲🎰🎲

#LasVegas #lasvegasstrip #couplegoals #bdsm #cheeks #clappingcheeks #assplay… https://t.co/dbzxjGKlcd"
Mobile,Mon Nov 23 23:35:28 +0000 2020,AL,@Dee_1x 😂😂😂😂 bro ass been trippin
Houston,Mon Nov 23 23:35:44 +0000 2020,TX,@_TrippyTee Bye Thelma https://t.co/n1E65LjGAa
Gaithersburg,Mon Nov 23 23:36:02 +0000 2020,MD,@Kle_babyy Triple ?? https://t.co/eq3PsU8KCI
Shepherdsville,Mon Nov 23 23:36:35 +0000 2020,KY,"He has a legitimate point 🤷🏻‍♂️

November 7th Pitt @ FSU

A Pitt player traveled to Tallahassee, tests positive on… https://t.co/NMmAyNcOsN"
El Ojo,Mon Nov 23 23:36:35 +0000 2020,SA,"@WrestlingJebus And to put the cherry on top, let William Regal or Triple H announce it.

Preferably Mr.Regal😂"
Chicago,Mon Nov 23 23:36:36 +0000 2020,IL,mfs go get on the news scolding people to not travel right now but giving them access too
Memphis,Mon Nov 23 23:37:02 +0000 2020,TN,S/O To GOD. I’m Triple Blessed ‼️ @YoGotti
Las Vegas,Mon Nov 23 23:37:05 +0000 2020,NV,"https://t.co/yWBes3JCvN
🎲🎰🎲🎰🎲

#LasVegas #lasvegasstrip #couplegoals #bdsm #cheeks #clappingcheeks #assplay… https://t.co/8hcH6Zxh64"
Philadelphia,Mon Nov 23 23:37:06 +0000 2020,PA,@Mystery99228096 @TripleOGCornpop @deefinewhine Always the case lol
Kissimmee,Mon Nov 23 23:37:10 +0000 2020,FL,@BlazePizza @NoubaniMohammed @LiquidHbox If I somehow get lucky I'll have to make the trip 😁
Baltimore,Mon Nov 23 23:37:39 +0000 2020,MD,Something for everyone! Bonus: traveling WiFi 💕 @prattlibrary
Bronx,Mon Nov 23 23:38:19 +0000 2020,NY,ik i wasn’t trippin
Manhattan,Mon Nov 23 23:38:31 +0000 2020,NY,Qantas insists that passengers on international flights provide proof of vaccination before boarding its planes.
Newark,Mon Nov 23 23:38:55 +0000 2020,NJ,"3m will fly and 48m will drive despite CDC warning against traveling ahead of Thanksgiving.

Americans are their own worst enemy."
Sacramento,Mon Nov 23 23:39:10 +0000 2020,CA,I miss traveling 😔
Houston,Mon Nov 23 23:39:15 +0000 2020,TX,@_TrippyTee You thought this was cute? https://t.co/yYDHkJOIYg
Houston,Mon Nov 23 23:39:48 +0000 2020,TX,@_TrippyTee Or this one? https://t.co/Ix0b2nK6m3
Washington,Mon Nov 23 23:40:04 +0000 2020,DC,I be thinking about treating somebody special &amp; then I start thinking again saying “nvm I’m tripping”😂😂😂
Little Rock,Mon Nov 23 23:40:27 +0000 2020,AR,"And if you got money, don't come on my strip. I wear that metal, no Olympic, but I can still make you tumble and fl… https://t.co/Dzf801wR7B"
Los Angeles,Mon Nov 23 23:40:47 +0000 2020,CA,"Having traveled from Mexico City to Tijuana with only 12 pesos in their pockets ($23 US dollars at the time), a str… https://t.co/AJPPLW5iOi"
Houston,Mon Nov 23 23:41:20 +0000 2020,TX,"Instead of posting pics of the exotic trips, when are girls gonna post pics of the 50 year old dudes that are paying for it?"
Kennebunk,Mon Nov 23 23:41:23 +0000 2020,ME,@bisciotti_nick Probably about a week or so. I’ve been traveling for work so honestly there’s no telling where. Kin… https://t.co/ZoGnO823LP
Manitou Springs,Mon Nov 23 23:41:26 +0000 2020,CO,"@giantwolfsupply LITERAL PERFECT CARRYON SIZE, i dont travel much i think i need to now with that bag 🤣🤣🤣"
Lafayette,Mon Nov 23 23:41:47 +0000 2020,LA,@TripiHipiJuice Sending good vibes fam 😔 I’m sorry for the loss of your pet!
Miami,Mon Nov 23 23:41:56 +0000 2020,FL,"i ain’t arguing with nobody who ain’t triple F 😂 fucking, feeding, financing me."
Sunrise,Mon Nov 23 23:42:00 +0000 2020,FL,@travelgirl391 Panic is setting in
St Louis,Mon Nov 23 23:42:18 +0000 2020,MO,@suburbanmom_187 Omfg girl my first trip I held onto a banana for 3 hours in the sun 😂you look STUNNING and sparkly😍😍
Houston,Mon Nov 23 23:42:30 +0000 2020,TX,He could travel with any of you hoes but ...
Houston,Mon Nov 23 23:42:32 +0000 2020,TX,I told him what I want out of life to make my kids happy and elevate so I can travel and see the world
Denver,Mon Nov 23 23:43:16 +0000 2020,CO,So I took a trip. https://t.co/upFvPqBqbG
Wilson,Mon Nov 23 23:43:40 +0000 2020,NC,@DHPIV Scotty doesn’t know -euro trip /Matt Damon
Springdale,Mon Nov 23 23:43:48 +0000 2020,SC,I need another trip back to Cali
San Antonio,Mon Nov 23 23:44:06 +0000 2020,TX,"If you need us, call: 1-800-454-5683. Abrazo is here to help. #knockedup #birthmomstrong #pregnantintexas… https://t.co/GFK2tTripP"
Los Angeles,Mon Nov 23 23:44:19 +0000 2020,CA,The hardest part about traveling is going back to Chicago 🥴😫
Rockville Centre,Mon Nov 23 23:44:45 +0000 2020,NY,"@TripleSharpe Love to see it, GL to us!"
Jackson,Mon Nov 23 23:44:49 +0000 2020,MS,Trippie and Thug spazzed on Spaceships 🚀
Los Angeles,Mon Nov 23 23:45:09 +0000 2020,CA,Need to shower and pack up before I get on this flight
Paris,Mon Nov 23 23:45:14 +0000 2020,TN,"Crappie from Kentucky Lake🇺🇸

#fishing #fishingislife #crappie #bass #bassfishing #kentuckylake #Travel https://t.co/fIVJv1U6H3"
South Duxbury,Mon Nov 23 23:45:40 +0000 2020,MA,"Memo that just went out to teams tightening COVID-19 protocols ...

• Masks required on sidelines.
• Traveling part… https://t.co/Pfkyehqu25"
Grosse Pointe Farms,Mon Nov 23 23:45:58 +0000 2020,MI,My company gave us all 2 round trip tickets to go anywhere in the world and  I imagine this is what pretzel day fel… https://t.co/6HjYebNfvr
West Haven,Mon Nov 23 23:45:59 +0000 2020,UT,"Come visit me at work today 🖤💕
@bluesapphireogdenutah 
.
.
.
.
#slc #utah #ogden #utah #stripper #dancer… https://t.co/Vxnu5CFaPU"
Henderson,Mon Nov 23 23:46:01 +0000 2020,NV,"@amethyst_heels @justinbrummer Jeez, didn’t realize you were trying to hit all 50 states *in one trip*. 😉😂🍻"
Miami Lakes,Mon Nov 23 23:46:13 +0000 2020,FL,"1 ano da trip pra Califa 🌄 
Me arrepio e da um aperto no coração só de pensar"
Greece,Mon Nov 23 23:46:13 +0000 2020,NY,God knows how many more holidays I’ll have left with my grandparents. Please DON’T travel for the holidays! I liter… https://t.co/jb4b81fSDQ
St Petersburg,Mon Nov 23 23:46:18 +0000 2020,FL,@bsobut @NASA @SpaceX @StPetePier @StPeteFL @elonmusk @JimBridenstine @flightclubio @VSPC @Tesla @Space_Station Yup
Batavia,Mon Nov 23 23:46:45 +0000 2020,NY,@shehasfreckles My cats trip me up like that all the time
Plymouth,Mon Nov 23 23:47:03 +0000 2020,MN,"The memo also reduces the number of players allowed to travel, reduces staff allowed to be around players and coach… https://t.co/sz4efrlmer"
St Petersburg,Mon Nov 23 23:47:11 +0000 2020,FL,Here's a flyer at the @TB_Times airport getting ready for her flight. 99.8% live. Lol. https://t.co/WSPFUoMHgh
Monterey,Mon Nov 23 23:47:36 +0000 2020,CA,"A nice little 30 minute walk from my hotel to the Old Fisherman’s Wharf in Monterey, California.
.
.
.
#travel https://t.co/STlpPFe5V6"
San Francisco,Mon Nov 23 23:48:25 +0000 2020,CA,"Awesome @vercel x @stripe x @supabase_io collab in the works 🔥 

Stay tuned…"
Fort Worth,Mon Nov 23 23:48:28 +0000 2020,TX,Nigga be tripping
Niagara Falls,Mon Nov 23 23:49:25 +0000 2020,NY,"Our first trip together was one to remember 🤍 thank you handsome , I love you 🍀 https://t.co/2EnoWBISAQ"
Warner Robins,Mon Nov 23 23:50:03 +0000 2020,GA,I’m ready for my next trip in 2 weeks!!!
Richland Hills,Mon Nov 23 23:50:18 +0000 2020,TX,@Rockies I'll always go with the classic purple pinstripes.
New Brunswick,Mon Nov 23 23:50:31 +0000 2020,NJ,"Damn I’m Tripping, I Threw Some Chicken In The Air Fryer Not Knowing It Wasn’t Plugged In &amp; I’m Tryna Figure Out Wh… https://t.co/LcNKHuF9Lw"
Los Angeles,Mon Nov 23 23:51:11 +0000 2020,CA,@TheRapAgenda cuh trippin
Pasco,Mon Nov 23 23:51:11 +0000 2020,WA,"Got an email from this Black-owned travel company I follow and the next trip to Ghana is in TWENTY TWENTY TWO. 

I’m depressed."
Pasco,Mon Nov 23 23:51:11 +0000 2020,WA,"Got an email from this Black-owned travel company I follow and the next trip to Ghana is in TWENTY TWENTY TWO. 

I’m depressed."
Hollywood,Mon Nov 23 23:51:34 +0000 2020,FL,Happy bday 2 one of my BFFs &amp;  smartest 4yr old you will ever met @avathetraveller. Enjoy princess. Remember what u… https://t.co/4qfgkSXdp0
Hammond,Mon Nov 23 23:52:02 +0000 2020,IN,"Save on this 10"" Selfie Ring Light with Tripod Stand and Cell Phone Holder, 14 Colors 

Price - $39.99

50% with Pr… https://t.co/mTeAVLTFXM"
Napili-Honokowai,Mon Nov 23 23:52:24 +0000 2020,HI,Sorry guys #WaikikiGloryhole is closed til Dec 1 for guests and travel
Warner Robins,Mon Nov 23 23:52:30 +0000 2020,GA,"Travel, start a business, do some squats..."
Manassas Park,Mon Nov 23 23:53:08 +0000 2020,VA,Except I need to travel across myself
Redmond,Mon Nov 23 23:53:09 +0000 2020,WA,"@mile_high_gal @nypost Holy Crap , that’s a lot of bacon. You win!! Uh Oh . I forgot to buy bacon on my shopping trip today ☹️"
Imperial Beach,Mon Nov 23 23:53:09 +0000 2020,CA,@True_Lie_Stupid @whslimeball @TrippyCherie @JocelynBenson Get off my lawn!!
Muskogee,Mon Nov 23 23:53:29 +0000 2020,OK,@CoachJSchmitz Safe travels!!
Detroit,Mon Nov 23 23:53:37 +0000 2020,MI,"@Silver_Rush67 Possibly a trip to Seattle. Not good at all, and a possible struggle."
Chicago,Mon Nov 23 23:53:45 +0000 2020,IL,😂😂You Trippin mane you know what it is
Imperial Beach,Mon Nov 23 23:54:27 +0000 2020,CA,"@True_Lie_Stupid @whslimeball @TrippyCherie @JocelynBenson And i dont care who you are, dildohead trump was comedy gold..."
Minneapolis,Mon Nov 23 23:54:35 +0000 2020,MN,"Tonight, media reports millions of Americans are traveling for Thanksgiving - “a recipe for disaster” per medical e… https://t.co/Mdvbeu4oqp"
Philadelphia,Mon Nov 23 23:54:58 +0000 2020,PA,The thing where someone tripped in last night’s Fargo was very dumb. Not shocking. I was just like huh okay whateve… https://t.co/peFm6KIKKX
Vancouver,Mon Nov 23 23:55:11 +0000 2020,WA,"@HyapatiaLee Steroids are a triple edged sword! I was on them for 20 years.... UGH!
I'm on biologics now. BETTER!"
San Francisco,Mon Nov 23 23:55:49 +0000 2020,CA,For the first time I booked a flight for the wrong day.
De Witt,Mon Nov 23 23:56:16 +0000 2020,NY,@twilitstripes how did u know
Houston,Mon Nov 23 23:56:30 +0000 2020,TX,"@TripleTeaaa Ikyfl !! Wtf, poor Clint 😭😭😭"
Nashville,Mon Nov 23 23:56:33 +0000 2020,TN,"Some much needed bestie time🍩💗

#nashvegas #bestiesforlife #gaggle #roadtrippin #fivedaughtersbakery #100layerdonut… https://t.co/nmhFbMAERY"
Houston,Mon Nov 23 23:56:39 +0000 2020,TX,He was tripping he know my love is where it’s at
Devils Lake,Mon Nov 23 23:57:11 +0000 2020,ND,Hoping life is some what back to normal by June. I have 2 roadtrips planned already
Nashville,Mon Nov 23 23:58:10 +0000 2020,TN,I hate I do this after every trip out of the country. I come back wanting to eat as good as I did while I was gone. 🤦🏾‍♀️
Cleveland,Mon Nov 23 23:58:44 +0000 2020,OH,And no she not a slut but she shaking it like a stripper
West Haven,Mon Nov 23 23:59:06 +0000 2020,CT,"@_fakesuggawaxer You’re trippin tho, those are the best photos we have."
Chicago,Mon Nov 23 23:59:29 +0000 2020,IL,@iluvyoungnudy @trippleccs no🤔
Paradise,Mon Nov 23 23:59:56 +0000 2020,NV,I’m not booking no more flights this year lol all bookings report to 2021 🤣
