city,date,state,text
Chesapeake,Sun Nov 29 23:06:06 +0000 2020,VA,Dismal swamp #greatdismalswampnationalwildliferefuge #sailing #liveaboardlife #travel @ Deep Creek Lock Park https://t.co/cHc6iyF34N
Manhattan,Sun Nov 29 23:06:16 +0000 2020,NY,I look like one of the stripes https://t.co/4AC4p9CMDG
Lafayette,Sun Nov 29 23:06:49 +0000 2020,LA,I always wanted to go on a road trip in an RV.
Atlanta,Sun Nov 29 23:06:56 +0000 2020,GA,And yes I tested negative for covid before and after this trip thank you
Winchester,Sun Nov 29 23:07:41 +0000 2020,MA,"Bottle 750 of 1500. Exact middle. Thanks Koza's!  Sweet, heat, smooth. Great. - Drinking a Maple Tripple Ale by… https://t.co/jyeBdMVV42"
Laramie,Sun Nov 29 23:07:46 +0000 2020,WY,Busy week in UW sports upcoming: two basketball games over next few days and a trip back to Vegas for a gridiron ma… https://t.co/KLE0YPo2fU
West Linn,Sun Nov 29 23:07:48 +0000 2020,OR,"@topknottraveler The university hospital I try to go to as much as possible does that too, and the last time I walk… https://t.co/GMo1VLMvKV"
Cudahy,Sun Nov 29 23:07:49 +0000 2020,WI,@masonictraveler We haven't yet.
Maplewood,Sun Nov 29 23:07:56 +0000 2020,NJ,@jamisonhensley @MikeTriplett 🥴
Gulf Shores,Sun Nov 29 23:08:52 +0000 2020,AL,"Dying to travel, also dying to buy a house. I only have enough for one"
Los Angeles,Sun Nov 29 23:09:15 +0000 2020,CA,@DudeAsInCool That was my destination. I would travel from LA to Lamy.  I am from Santa Fe.
Texas City,Sun Nov 29 23:09:39 +0000 2020,TX,me trippin over my headband is everything 😂
Virginia Beach,Sun Nov 29 23:09:46 +0000 2020,VA,"CYBER MONDAY SALE
50% OFF SELECT APPAREL
USE CODE: CYBER50
.
STRIPE  DOLLY OFF SHOULDER JUMPSUIT 
WEARING 1X  SIZE… https://t.co/eMB4jqzSka"
O'Fallon,Sun Nov 29 23:09:57 +0000 2020,MO,I’m very confident in guessing that this new/rebuilt @QuikTrip in St. Peters on Mid Rivers Mall Dr. at Willott Rd.… https://t.co/91zCAbUPmC
Highland Village,Sun Nov 29 23:10:35 +0000 2020,TX,@JoeBiden you gotta lock down interstate travel.  3 week a a time until zero.  Remember theee was a time when… https://t.co/RvDPNLkwaj
San Antonio,Sun Nov 29 23:10:42 +0000 2020,TX,"Tech fans travel, man. It’s so awesome to hear them take over every arena they’re in."
Monroe,Sun Nov 29 23:11:01 +0000 2020,LA,Never Trip About A Text Back Cause People Make Time For Who They Want🤷🏽‍♂💯
Galveston,Sun Nov 29 23:11:10 +0000 2020,TX,@DaOGTriple Cornyn has never voted against Trump
Enterprise,Sun Nov 29 23:11:33 +0000 2020,NV,@EmpressofLight2 💯 true :(
Richmond,Sun Nov 29 23:11:38 +0000 2020,VA,Drinking a Landbier - 2020 Variant by @TripleCrossing at @triplecrossing — https://t.co/ohA9cuMRKH
College Park,Sun Nov 29 23:12:28 +0000 2020,GA,missed my flight cause I didn’t get wings. I’m convinced🤣
San Diego,Sun Nov 29 23:12:48 +0000 2020,CA,Anyone down for Big bear lakes trip this January? Got a cabin locked in for it 🏔🏂
Buenaventura Lakes,Sun Nov 29 23:13:03 +0000 2020,FL,@frdrck___ A good facial cleanser and a warm rag...I’m not tripping
Denver,Sun Nov 29 23:13:06 +0000 2020,CO,@MrAndyNgo Time for a trip to the woodshed. Enough
Lubbock,Sun Nov 29 23:13:45 +0000 2020,TX,Burnett attempts to take a shot before the shot clock ran out and he is called on a travel... 🚨🚨🚨 #SPMT3373
Euclid,Sun Nov 29 23:14:19 +0000 2020,OH,A girls trip is needed ASAP
Newnan,Sun Nov 29 23:14:30 +0000 2020,GA,@deolebear @NomadsPassport @poetixtrip @RudiGourmand @MadHattersNYC @Nicolette_O @RCGibby73 @Stars252525… https://t.co/tbXNIGo9Km
Cape Canaveral,Sun Nov 29 23:14:31 +0000 2020,FL,"Travel lines -
 #sky #skyphoto #skyphotography #Florida #floridasky https://t.co/2wmO3xKalV"
Lompoc,Sun Nov 29 23:14:33 +0000 2020,CA,I just want to travel 🥺
San Marcos,Sun Nov 29 23:15:00 +0000 2020,TX,A dear friend brought me some Jameson from her trip to Ireland!  It's whiskey time!! #sanmarcos #sanmarcostx… https://t.co/PkL9xa5Vvd
Newnan,Sun Nov 29 23:15:07 +0000 2020,GA,@OneDelightfulL @NomadsPassport @poetixtrip @RudiGourmand @MadHattersNYC @Nicolette_O @RCGibby73 @Stars252525… https://t.co/3h42WGRHRb
Philadelphia,Sun Nov 29 23:15:17 +0000 2020,PA,Me and rue had so much fun in Atlantic City last week 🥰. We gotta have another trip i like our trips especially without the kids lol
Newnan,Sun Nov 29 23:15:31 +0000 2020,GA,@Gail_Herself @NomadsPassport @poetixtrip @RudiGourmand @MadHattersNYC @Nicolette_O @RCGibby73 @Stars252525… https://t.co/75BnjAlZsr
Galveston,Sun Nov 29 23:15:53 +0000 2020,TX,"@DaOGTriple None of the Texas senators have any balls, that’s required to be senator for Texas. Look at Ted Cruz, m… https://t.co/1MTUn2dlgN"
Seneca,Sun Nov 29 23:16:46 +0000 2020,SC,Take flight big fella @JavonKinlaw
Baltimore,Sun Nov 29 23:17:25 +0000 2020,MD,Interior Department's @SecBernhardt continues efforts to strip away bird protections under the Migratory Bird Treat… https://t.co/aHUoBVHOMw
Houston,Sun Nov 29 23:17:31 +0000 2020,TX,"I'm at Traveler’s Table in Houston, TX https://t.co/l6LiD27x1d"
Campbell,Sun Nov 29 23:17:43 +0000 2020,CA,Omggg @FlightAttendant is sooo good! I just watched the first episode and I’m so hooked. But I have to wait for my… https://t.co/TJ6z32NLvl
Miami Beach,Sun Nov 29 23:18:42 +0000 2020,FL,@RabidPit @joeygarrison Lol. The death cult is a trip.
Severn,Sun Nov 29 23:19:18 +0000 2020,MD,"A whole row to myself on this flight, this has not happened since March."
Minneapolis,Sun Nov 29 23:19:21 +0000 2020,MN,Watching Weezer on YouTube and having flashbacks to the time a random sketchy dude on the Sunset Strip tried to con… https://t.co/9mPspFZ1w5
Lebanon,Sun Nov 29 23:20:02 +0000 2020,PA,"Got to test out the new Black Friday purchase today 🔥🔥🔥

5i - Driver

#golf #flightscope #mevo #golflife… https://t.co/nsEwy1SNpG"
Des Moines,Sun Nov 29 23:20:20 +0000 2020,WA,I wish the strip clubs were open 🥺
Galveston,Sun Nov 29 23:20:25 +0000 2020,TX,@DaOGTriple If he keeps 51%+ of his promises I’m good. I’m crossing my fingers 🤞🏾
South Jordan,Sun Nov 29 23:20:55 +0000 2020,UT,@Minamoto66 @triplebai 这么狠心、这是有什么仇什么怨呢？
New Orleans,Sun Nov 29 23:21:11 +0000 2020,LA,"@PickyVeg I’m already back in New Orleans, next trip!"
Stockbridge,Sun Nov 29 23:21:14 +0000 2020,GA,"I can't get all drums, american deli tripp'n ‼️😂😂"
Rockford,Sun Nov 29 23:21:37 +0000 2020,IL,"I wanna try strip club chicken wings, durk said they the best. 🤣"
Meriden,Sun Nov 29 23:21:58 +0000 2020,CT,Especially after a few years when it wouldn’t even be a class “trip” thing and became only the kids who had money t… https://t.co/Q4dlGt2tZY
Orion,Sun Nov 29 23:22:01 +0000 2020,MI,Im bout to take a trip there soon
Galveston,Sun Nov 29 23:22:03 +0000 2020,TX,"@DaOGTriple She likes lapdogs, she’s just a little embarrassed that he was exposed."
Pomona,Sun Nov 29 23:22:28 +0000 2020,CA,"i’m long overdue for a beach trip, i wanna go so bad :("
Waldorf,Sun Nov 29 23:22:29 +0000 2020,MD,ard so you know when people die and there soul be stuck in that one place/area.....but what if you travel the whole… https://t.co/kmIZLNs75g
Santa Monica,Sun Nov 29 23:22:35 +0000 2020,CA,'World's loneliest elephant' Kaavan starts trip to Cambodia from https://t.co/HxTEnv1D2Z https://t.co/wN5jttWizc… https://t.co/E6JEdtlVtW
Miami,Sun Nov 29 23:22:45 +0000 2020,FL,I wanna do a cabin trip.
New Orleans,Sun Nov 29 23:23:39 +0000 2020,LA,@TimEdwardsZero4 Really I'd rather see both! I would love to see him stripped of his fortune to pay back the Americ… https://t.co/waufixHQcN
Cocoa Beach,Sun Nov 29 23:23:39 +0000 2020,FL,"#triple8quad #chayaskates #barbiepatin #bombahache #cibcrew #cibspacecoast 
No me doy por vencida!
I don’t give up!… https://t.co/FvPd3EmDSp"
Wichita,Sun Nov 29 23:23:51 +0000 2020,KS,marg got to stop playin w me and take a flight ✈️
Manhattan,Sun Nov 29 23:24:26 +0000 2020,NY,First trip to the salon👸🏾👑❤️ @ Cozy's Cuts for Kids https://t.co/wF5Bc9p2X6
Carteret,Sun Nov 29 23:24:43 +0000 2020,NJ,Got A Bitch That Be Stripping Be Taking Her Tips Got a Bitch With Some Bitches Be Taking Her Bitch
Oro Valley,Sun Nov 29 23:25:10 +0000 2020,AZ,@HallTripperGDF @JennaEllisEsq Gabe ..I know weed is legal now but you need to slow down 😂🤣
Longmont,Sun Nov 29 23:26:03 +0000 2020,CO,"If you were opening a store in a strip mall, and one side had a dispensary and the other side of you had a bakery,… https://t.co/ny4P3l9fn2"
Campbell,Sun Nov 29 23:26:44 +0000 2020,CA,@ow Going to Maui. COVID test done and negative results so I can get on the flight.
South Bend,Sun Nov 29 23:27:26 +0000 2020,IN,@dirrty862 @KwikTrip Me too. Soon we will go back.
Hamden,Sun Nov 29 23:27:32 +0000 2020,CT,@LucaBellodi @uclspp @Unibocconi @DondenaCentre I've never been! Maybe someday when travel is again possible I will… https://t.co/0P6Om0wZyl
Thorofare,Sun Nov 29 23:27:38 +0000 2020,NJ,@RedStripeRocco @BankFlat @JerseyFreshGaL Yessssss!!  Can’t wait!!
Millbrae,Sun Nov 29 23:28:53 +0000 2020,CA,@ohasinwoh @elonmusk I would’ve happily swapped my CRV with you for the weekend. File that away for future roadtrips.
Lee's Summit,Sun Nov 29 23:29:01 +0000 2020,MO,"Let Tyrann tell it, he could strip the ball every play. He don’t need to tackle"
Brooklyn,Sun Nov 29 23:29:16 +0000 2020,NY,"@slqhcy 1. Lil peep
2. xxxTentacion
3. Trippie Redd
4. Pop Smoke
5. Dua Lipa"
Minneapolis,Sun Nov 29 23:29:46 +0000 2020,MN,@MalcomJ4709 @JoyceWhiteVance Then he can trip over the cat.
San Gabriel,Sun Nov 29 23:30:18 +0000 2020,CA,@Bigbird_fgc @WSOLogan @TheSupernoon @Dankadillas Need another trip to SoCal ASAP
Lake Lucerne,Sun Nov 29 23:30:33 +0000 2020,FL,"But what if I , what if I trip ?
What if i, what if i fall? 
Then am I the monster ? 
Just let me know 😫👏🏽 https://t.co/2jEJzw9PPe"
Lakeway,Sun Nov 29 23:30:33 +0000 2020,TX,"#FYI The Secret to Working From Anywhere, According to Digital Nomads | Travel + Leisure https://t.co/CVkhT8cEVz"
Nashville,Sun Nov 29 23:30:39 +0000 2020,TN,Of course the flight to Orlando has all the most attractive girls I’ve seen in the airport lmao
Indianapolis,Sun Nov 29 23:31:13 +0000 2020,IN,I understand y mfs dont wanna be recorded or jus b nervous .. ppl dtm thats y i dont trip cause if you ever met me… https://t.co/KNz5UUS67Q
Brookville,Sun Nov 29 23:31:13 +0000 2020,NY,@JenniferJJacobs Free trip
Newnan,Sun Nov 29 23:31:57 +0000 2020,GA,@ocparkbuilder @NomadsPassport @poetixtrip @RudiGourmand @MadHattersNYC @Nicolette_O @RCGibby73 @Stars252525… https://t.co/C76fnVxHU0
Philadelphia,Sun Nov 29 23:32:10 +0000 2020,PA,I still want that Riott Squad triple threat. #LivForever
Beaumont,Sun Nov 29 23:32:13 +0000 2020,TX,let me chill out ian trippin today.
Newnan,Sun Nov 29 23:32:35 +0000 2020,GA,@FishOutofMalbec @NomadsPassport @poetixtrip @RudiGourmand @MadHattersNYC @Nicolette_O @RCGibby73 @Stars252525… https://t.co/8ptMDbjaFs
Oceanside,Sun Nov 29 23:32:42 +0000 2020,CA,@bryanz They sometimes might rub a little but the body is designed for the wheel travel. We were probably doing 85-90mph right there.
Phoenix,Sun Nov 29 23:32:42 +0000 2020,AZ,"If Kushner is traveling re the election, US taxpayers should not pay for the trip."
Phoenix,Sun Nov 29 23:32:42 +0000 2020,AZ,"If Kushner is traveling re the election, US taxpayers should not pay for the trip."
Saint Clair,Sun Nov 29 23:32:51 +0000 2020,OH,"@osuchic1 After 245 years, 4 years strips your pride in America? Please tell us what happened that is so terrible.… https://t.co/S91yVd6riI"
Newnan,Sun Nov 29 23:32:54 +0000 2020,GA,@aaaawells @NomadsPassport @poetixtrip @RudiGourmand @MadHattersNYC @Nicolette_O @RCGibby73 @Stars252525… https://t.co/3O4FR36gag
Austin,Sun Nov 29 23:32:56 +0000 2020,TX,"@elonmusk @MarcusHouseGame @bcart03 @nextspaceflight @NASASpaceflight I know you'll figure this out! Also, any upda… https://t.co/F9OOkNnx1L"
Paradise,Sun Nov 29 23:33:49 +0000 2020,NV,"Ready to Eat....
🎀💕Heaven™️💕🎀 @ Las Vegas Strip https://t.co/fjgixVmJde"
Newnan,Sun Nov 29 23:33:57 +0000 2020,GA,@Nicolette_O @NomadsPassport @poetixtrip @RudiGourmand @MadHattersNYC @RCGibby73 @Stars252525 @drugstoredivas… https://t.co/VaRUQdj001
Anchorage,Sun Nov 29 23:34:20 +0000 2020,AK,"My little cousins stopped by before leaving back to Tok. Safe travels back home @ Anchorage, Alaska https://t.co/CtW5xmTLu1"
Wilkes-Barre,Sun Nov 29 23:34:39 +0000 2020,PA,"OK I said three dog dare ya. However, I have the liver of an elephant . fourth dog. - Drinking a Super Duper Triple… https://t.co/crd4Q9RVxF"
Seaside,Sun Nov 29 23:34:47 +0000 2020,OR,@TripCheckUS30A @WashCoScanner Was wondering what’s going on. Lots of first responders enroute in Astoria
Arlington,Sun Nov 29 23:36:05 +0000 2020,VA,"Everyone who traveled for Thanksgiving must get COVID-19 test done, every day for next 14 days. 

You can be positi… https://t.co/CXLk67ippp"
Newnan,Sun Nov 29 23:36:07 +0000 2020,GA,@drugstoredivas @NomadsPassport @poetixtrip @RudiGourmand @MadHattersNYC @Nicolette_O @RCGibby73 @Stars252525… https://t.co/o9M89ih8gn
Phoenix,Sun Nov 29 23:36:32 +0000 2020,AZ,@msanonymousme Yeah. Sure. It’s a trip about locking down income to Trump and him post Trump’s presidency.
Dallas,Sun Nov 29 23:37:13 +0000 2020,TX,#DAL is currently experiencing departure delays between 16 mins and 30 mins due to VOL:Compacted Demand #flightdelay https://t.co/hqMzq0ompx
Florence,Sun Nov 29 23:37:14 +0000 2020,AL,Trippie redd
Houston,Sun Nov 29 23:37:19 +0000 2020,TX,I was so blessed to visit this site while on a business trip to Mexico City in March.  Pre-shutdown.  It was magica… https://t.co/pGg9aitP7b
Brooklyn,Sun Nov 29 23:37:44 +0000 2020,NY,I have been missing Seattle lately... decided I’m gonna make a trip back in February so any of my WA friends come through 🧡
San Diego,Sun Nov 29 23:37:45 +0000 2020,CA,@neutralleo JSJSJSJSBSBEBW EVERY TIME I MAKE THIS CLAIM I FORGET THEYRE TRIPLETS AND SOMEONE POINTS THAT OUT AND I… https://t.co/DkfornkUly
New London,Sun Nov 29 23:37:53 +0000 2020,CT,How many passes has mullens thrown that have travelled more than 10 yards past the line?
Brooklyn,Sun Nov 29 23:38:09 +0000 2020,NY,I have been missing Seattle lately... decided I’m gonna make a trip back in February so my special WA friends come through 🧡
Roanoke,Sun Nov 29 23:38:21 +0000 2020,VA,@SidneyPowell1 @LLinWood @KrakenWood1 @GenFlynn @abigailcfrye @Leon4Congress @Raiklin I’m a traveler here fighting… https://t.co/jTIg07yPcU
Fort Worth,Sun Nov 29 23:40:06 +0000 2020,TX,@Xhoji Na una we dey play abi? Na to find road trip next sunday....
Tampa,Sun Nov 29 23:40:53 +0000 2020,FL,Chiefs fan travel so well... so happy 😀
Santee,Sun Nov 29 23:41:46 +0000 2020,CA,@CharaStone6 @elonmusk @MarcusHouseGame @nextspaceflight @NASASpaceflight ...adds weight.
San Diego,Sun Nov 29 23:42:11 +0000 2020,CA,Yahh this December trip to Richmond is looking like a nah.
Montgomery,Sun Nov 29 23:42:14 +0000 2020,AL,Shit be wrong but I ain’t tripping just gts 👌🏾 ....
Sunrise,Sun Nov 29 23:42:16 +0000 2020,FL,@Squirrels_Mama @yogagenie Kamala tripped him
Valinda,Sun Nov 29 23:43:44 +0000 2020,CA,"Anybody else went all out on BuJo’s, planners, stationary supplies, and travel journals around this time last year… https://t.co/JBpCaFzCY9"
Monticello,Sun Nov 29 23:43:56 +0000 2020,AR,Mullens doesn’t move. Once he gets to the top of his drop he just stands there and triple clutches. Doesn’t slide l… https://t.co/jqg80ppDJe
Washington,Sun Nov 29 23:44:41 +0000 2020,DC,@thegaytraveler @barredindc https://t.co/3t82K1s8qD
Little Rock,Sun Nov 29 23:45:28 +0000 2020,AR,"In season 1, Kim said the thought of her brother dating a stripper made her sick. Oh, the irony in that LMFAOOOO"
San Diego,Sun Nov 29 23:45:38 +0000 2020,CA,For the first time I don’t have any travel plans and I’m about to change that right NOW! 🙌🏾
New Orleans,Sun Nov 29 23:45:46 +0000 2020,LA,Yeah that FO is trippin hard. Unless yall going after somebody like Dak in FA or shipping sum 1st Rounders to move… https://t.co/uoj48QbQDp
Billerica,Sun Nov 29 23:45:57 +0000 2020,MA,Brady throwing into triple coverage with his boy Gronk running down the sidelines one on one. Is he gonna fling his helmet now??
Manhattan,Sun Nov 29 23:46:00 +0000 2020,NY,My date for my every night.. #Travel #NewYork #Postcumple #littleitaly #Wife en Little Italy https://t.co/Faq8UwTh3L
Houston,Sun Nov 29 23:46:06 +0000 2020,TX,"no more trippin or forcing shit, it is what tf it is. Comfortable with just being with me🤞🏾🤧"
Dallas,Sun Nov 29 23:46:20 +0000 2020,TX,@MattNowak1 He got behind me while I was bending over to pick up door dash from the front porch and I tripped over… https://t.co/y3hsl2ZxEu
Hopewell,Sun Nov 29 23:46:21 +0000 2020,KY,"Finally heading home after a last minute to Dollywood on my 12th day of this trip.
Was awesome hanging out with so… https://t.co/ooBPkiCPYr"
Pensacola,Sun Nov 29 23:46:43 +0000 2020,FL,"Praying for a safe and smooth flight back to Dallas, Texas. 🙏🏽"
Adel,Sun Nov 29 23:47:02 +0000 2020,GA,Straight Dudes Trip Me Out..They Want It All Even Their Ass Ate.. WTH..if you want all that your down 4 whatever..I… https://t.co/jwwpzL3xN9
Atlanta,Sun Nov 29 23:47:10 +0000 2020,GA,"これわかるわー
仕事で怪我をして2年間ほど歩けない(半年ほどは昏睡)時にでんぱ組を知って元気をもらったもの！
#でんぱ組

えいたそ、ありがとう。引きこもりだった私が「でんぱ組.inc」に出会って全国制覇までした話- TRiP E… https://t.co/jTFDuyWpzD"
Brooklyn,Sun Nov 29 23:47:53 +0000 2020,NY,@bigchaz N95 mask and you’re good. Safe travels.
Fargo,Sun Nov 29 23:48:10 +0000 2020,ND,@_avlisK Our lil Tripod 👉🏽👈🏽
Daytona Beach,Sun Nov 29 23:48:25 +0000 2020,FL,spooky black is my favorite artist to listen to when I’m high. and trippie
West Covina,Sun Nov 29 23:49:42 +0000 2020,CA,"I don’t wanna go to blaze tonight

I wanna trip on acid with my friends 🥺"
Los Angeles,Sun Nov 29 23:50:12 +0000 2020,CA,Air BNB - Lil Villan &amp; McclainBillz by 💥DJ TRIPLE B💥 on #SoundCloud https://t.co/c4P5iBOYkw
Asbury Park,Sun Nov 29 23:50:32 +0000 2020,NJ,Time to feed Kitty and short trip to Asbury after the holidays!! @ Asbury Kitchen by David Burke https://t.co/R5VgxTa667
Marrero,Sun Nov 29 23:50:42 +0000 2020,LA,Is it too early to pack for my Disney trip in January🥺
Dallas,Sun Nov 29 23:51:15 +0000 2020,TX,trips to ya crib in the middle of the NIGHT
Comstock Northwest,Sun Nov 29 23:51:45 +0000 2020,MI,I support strippers but...don’t do that with your money. https://t.co/ZiH7PxgtZx
Brooklyn,Sun Nov 29 23:51:54 +0000 2020,NY,Look #nyc #newyork #newyorkcity #photography #photoart #instaphoto #instapic #instatravel #travel #roadtrip #us… https://t.co/2ztpdT4I6a
Brooklyn,Sun Nov 29 23:51:54 +0000 2020,NY,Look #nyc #newyork #newyorkcity #photography #photoart #instaphoto #instapic #instatravel #travel #roadtrip #us… https://t.co/2ztpdT4I6a
San Diego,Sun Nov 29 23:52:09 +0000 2020,CA,"@real_defender You need to take a trip to the Cornfield 

https://t.co/GpL04p4ldP"
Wekiwa Springs,Sun Nov 29 23:52:37 +0000 2020,FL,"@ZachFoerstel Safe travels. When you hit 75 in Live Oak on the way back, stop at the Busy Bee. You are welcome."
Lebanon,Sun Nov 29 23:52:59 +0000 2020,IN,Lol I need on this flight! https://t.co/uSN3sA5pYf
Manhattan,Sun Nov 29 23:53:42 +0000 2020,NY,Urban flesh #city #nyc #newyork #newyorkcity #photography #photoart #instaphoto #instapic #instatravel #travel… https://t.co/oKIEt798sV
Billings,Sun Nov 29 23:53:44 +0000 2020,MT,What a welcome back by #nature in #billingsmontana -#bigsky country continues to amaze us. #traveltoseenature… https://t.co/lPdt3vsLLR
Alum Rock,Sun Nov 29 23:54:04 +0000 2020,CA,"@holdmyfknblunt Casi 4 in small as seats , sin comer, y dolor de cabeza worst flight"
Natchez,Sun Nov 29 23:54:08 +0000 2020,MS,@chef_curry_30_ @MikeTriplett Saints QB is out injured too.
Denver,Sun Nov 29 23:54:33 +0000 2020,CO,"@TexanAllMyLife Lay hands on him, and speak over his life that ""By the Stripes of Jesus Christ of Nazareth he is healed!"""
Brooklyn,Sun Nov 29 23:54:42 +0000 2020,NY,Bon zanmi n poko sou do w gentan ap plenyen tuips... on triple wi l ap fè ok pare kò w 😂😂
Jackson,Sun Nov 29 23:54:46 +0000 2020,MS,I’m not able to work out today and I’m traveling tomorrow evening on business so I HAVE to wake up early and go run… https://t.co/pRkFNXK1yH
South Gate,Sun Nov 29 23:54:48 +0000 2020,CA,Quick Walmart trip
Manhattan,Sun Nov 29 23:54:55 +0000 2020,NY,Praying for us? ##graffiti #streetart #photography #photoart #instaphoto #instapic #instatravel #travel #roadtrip… https://t.co/sAx2WinNGu
Manhattan,Sun Nov 29 23:54:55 +0000 2020,NY,Praying for us? ##graffiti #streetart #photography #photoart #instaphoto #instapic #instatravel #travel #roadtrip… https://t.co/sAx2WinNGu
Hillsboro,Sun Nov 29 23:55:29 +0000 2020,OR,"@TripathiiPankaj @KapilSharmaK9 @satishkaushik2 @AnupamPKher @SonyTV Aapki vaani, badi nirali! Kaleen Bhaiyya!! 🙌🙌🙌"
Detroit,Sun Nov 29 23:56:10 +0000 2020,MI,Delta Fired A White Flight Attendant After Asking Whether She Was “Racist” Toward White Men https://t.co/nmPibj3X5B via @juliareinstein
Thousand Oaks,Sun Nov 29 23:56:10 +0000 2020,CA,@TimeTravelAnon @nypost Hahahaha 👑👑👑👑👑👑👑👑
Dallas,Sun Nov 29 23:56:20 +0000 2020,TX,Departure delays are no longer in effect for #DAL #flightdelay https://t.co/hqMzq0ompx
Manhattan,Sun Nov 29 23:56:26 +0000 2020,NY,@SouthernerSays @NomadsPassport @poetixtrip @RudiGourmand @MadHattersNYC @Nicolette_O @RCGibby73 @Stars252525… https://t.co/jiu48tycw7
Indianapolis,Sun Nov 29 23:56:41 +0000 2020,IN,Fun dinner tonight with my girls! 6 different travel teams and 7 different high schools! 🥰🥎🍕@_kea01 @BoogieTompkins… https://t.co/r54aLVzWut
Kansas City,Sun Nov 29 23:56:48 +0000 2020,MO,missed my flight thank God
Honolulu,Sun Nov 29 23:56:51 +0000 2020,HI,Not all the time but maybe if I’m going somewhere hella crowded and FOR SURE when I’m traveling
Pearland,Sun Nov 29 23:57:42 +0000 2020,TX,"Juice tit in full effect. 

#spindletap #haymaker #houstonbeer #triple #ipa #heaviesthands #sundaybeers @ Pearland,… https://t.co/ImCbD8w71u"
Marion,Sun Nov 29 23:58:07 +0000 2020,OH,so who’s goin on a long boy trip w me
Washington,Sun Nov 29 23:58:10 +0000 2020,DC,@freak_scorpion Damn I need a trip!
Marion,Sun Nov 29 23:58:40 +0000 2020,OH,so who’s goin on a boat trip w me
Nashville,Sun Nov 29 23:58:41 +0000 2020,TN,@edgarwright DJANGO UNCHAINED / RICHARD PRYOR: LIVE ON THE SUNSET STRIP
Tyler,Sun Nov 29 23:58:52 +0000 2020,TX,I’m ready to catch this flight.
